sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
1,5,1,3,4,2,8,0.8,0.08,4,0
2,5,1,3,4,2,8,0.6,0.06,3,0
2,4,4,2,2,6,11,0.01,0,1,1
3,5,4,2,2,3,8,0.37,0.04,2,0
3,5,5,2,2,3,8,0.15,0.02,1,0
3,6,7,2,3,5,11,0.12,0.01,1,0
3,6,6,2,3,4,13,0.31,0.03,2,1
4,3,9,2,3,3,13,0.93,0.1,4,1
5,4,8,2,2,3,13,0.66,0.07,3,1
5,5,8,2,3,4,13,0.7,0.07,3,1
4,6,6,2,3,4,13,1.09,0.11,5,1
2,6,4,3,3,3,13,0.59,0.06,3,0
5,3,9,2,3,3,11,0.48,0.05,3,1
5,4,8,3,3,3,13,1.1,0.12,5,1
5,5,7,2,3,3,13,1.72,0.18,6,1
3,5,1,3,4,2,9,1.79,0.19,6,0
1,6,1,3,4,1,9,0.94,0.1,4,0
5,3,5,2,2,3,11,0.13,0.01,1,1
4,4,3,3,3,4,4,1.01,0.11,4,1
3,4,1,2,3,2,9,1.99,0.21,6,0
2,5,1,3,4,1,9,2.4,0.25,7,0
1,5,1,3,6,1,9,1.66,0.18,6,0
1,5,1,3,4,3,6,4.83,0.51,10,0
2,5,5,3,3,7,7,4.24,0.45,10,0
1,5,1,3,3,3,15,5.09,0.54,10,0
1,5,1,3,5,3,15,5.96,0.63,11,0
3,5,5,3,3,6,13,3.7,0.39,9,0
2,6,1,3,3,3,13,4.63,0.49,10,0
1,6,1,3,4,3,15,5.57,0.59,11,0
5,5,3,3,3,6,13,3.42,0.36,9,0
4,6,1,3,3,3,15,4.41,0.46,10,0
3,6,1,3,5,3,15,5.39,0.57,11,0
6,5,2,3,3,7,7,3.48,0.37,9,0
5,6,1,3,3,2,8,4.4,0.46,10,0
3,6,1,3,5,2,8,4.84,0.51,10,0
6,5,1,3,2,2,8,2.99,0.32,8,0
5,5,1,3,4,2,8,3.4,0.36,9,0
3,5,1,3,6,2,8,3.91,0.41,9,0
4,5,1,3,3,3,13,1.98,0.21,6,0
3,6,1,3,4,2,8,2.43,0.26,7,0
